delta;Error;std;itterations
0.0;0.0002302290117262203;0.01916699468151357;15.0
0.01;0.00039558618678641236;0.023877786697771894;14.7428
0.02;0.0008580440074774661;0.03476590203802807;14.7682
0.03;0.002120129905956028;0.07310464672170397;14.8302
0.04;0.0029191948877419858;0.2162989067634005;14.853
0.05;0.017521546710843928;0.7503462144771766;14.6842
0.06;0.01267024773429574;0.8480187872509293;14.6386
0.07;0.05440534114720963;1.6690241594898578;14.3156
0.08;0.06403886258046898;2.374870447639742;14.5954
0.09;0.6464650103732799;20.512988439495377;14.855
0.1;0.686934825304042;20.479078750582413;14.8304